1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1970,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76
,,,,,,,,,,,,,,,,,,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners,Cook & Kerrison & Partners
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook (Har M) & Kerrison (Wltr J),Cook (Har M) & Kerrison (Wltr J),Cook (Har M) & Kerrison (Wltr J),,Cook & Kerrison,Cook Harold M & Kerrison Walter J E,Cook Harold M & Kerrison Walter J E,Cook Harold M & Kerrison Walter J E,Cook Harold M & Kerrison Walter J E,Cook & Kerrison,Cook & Kerrison,Cook & Kerrison,Cook & Kerrison,Cook & Kerrison,Cook & Kerrison,Cook & Kerrison,Cook & Kerrison,Cook & Kerrison,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooper A J,Cooper A J,Cooper A J,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Cooper E R,Cooper E R,Cooper E R,Cooper E R,Cooper E R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Corbett & Ryan,Corbett & Ryan,Corbett & Ryan,Corbett & Ryan,Corbett & Ryan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Corbett Ryan & Walsh,Corbett Ryan & Walsh,Corbett Ryan & Walsh,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,Cowlishaw G O,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Cranston D,Cranston D,Cranston D,Cranston D,Cranston D,Cranston D,Cranston D,Cranston D,Cranston D,Cranston D,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Crick (Guy), Lewis & Williams","Crick (Guy), Lewis & Williams","Crick (Guy), Lewis & Williams",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Crick, Guy and Associates","Crick, Guy and Associates","Crick, Guy & Associates","Crick, Guy & Associates","Crick, Guy & Associates",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Crick, Guy, Lewis & Williams","Crick, Guy, Lewis & Williams","Crick, Guy, Lewis & Williams","Crick, Guy, Lewis & Williams",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Crofts E W N,Crofts E W N,Crofts E W N,Crofts E W N,Crofts E W W,Crofts E W W,Crofts E W W,Crofts E W W,Crofts E W N,Crofts E W N,Crofts E W N,Crofts E W N,Crofts E W N,Crofts E W N,Crofts E W N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cross T H A & Bain D,Cross T H A & Bain D,,,,,,,,,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D,Cross T H A & Bain D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Crump K S,Crump K S,Crump K S,Crump K S,Crump K S,Crump K S,Crump K S,Crump K S,Crump K S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystal Waters Aquarium,Crystal Waters Aquarium,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Cue J O,Cue J O,Cue J O,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Cullen F L,Cullen F L,Cullen F L,Cullen F L,Cullen F L,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cullen Fagg Hargraves Mooney & Cullen,Cullen Fagg Hargraves Mooney & Cullen,Cullen Fagg Hargraves Mooney & Cullen,Cullen Fagg Hargraves Mooney & Cullen,Cullen Fagg Hargraves Mooney & Cullen,Cullen Fagg Hargraves Mooney & Cullen,Cullen Fagg Hargraves Mooney & Cullen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cullen Frank L,Cullen Frank L,Cullen Frank L,Cullen Frank L,Cullen Frank L,Cullen Frank L,Cullen Frank L,,,,,,,,,,Cullen Frank L,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Cullen Frank L & Parters,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Cullen Frank L Fagg Hargraves & Mooney,Cullen Frank L Fagg Hargraves & Mooney,Cullen Frank L Fagg Hargraves & Mooney,Cullen Frank L Fagg Hargraves & Mooney,Cullen Frank L Fagg Hargraves & Mooney,Cullen Frank L Fagg Hargraves & Mooney,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Cullinan Michael L,Cullinan Michael L,Cullinan Michael L,Cullinan Michael L,Cullinan Michael L,Cullinan Michael L,Cullinan Michael L,Cullinan Michael L,Cullinan Michael L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cunnington McKerrell,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curnow W J,Curnow W C,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Currey B J,Currey B J,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Curro J & Nutter D,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Curro J R,Curro J R,Curro J R,Curro J R,Curro J R,Curro J R,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Curro Nutter & Charlton,Curro Nutter & Charlton,Curro Nutter & Charlton,Curro Nutter & Charlton,Curro Nutter & Charlton,Curro Nutter & Charlton,Curro Nutter & Charlton,Curro Nutter & Charlton,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Cusick Edwards Bisset & Partners,Cusick Edwards Bisset & Partners,Cusick Edwards Bisset & Partners,Cusick Edwards Bisset & Partners,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Cusick S T,Cusick S T,Cusick S T,Cusick S T,Cusick S T,Cusick S T,Cusick S T,Cusick S T,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Dalton John,Dalton John,Dalton John,Dalton John,Dalton John,Dalton John,Dalton John,Dalton John,Dalton John,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Dalton John Architect & Associates,Dalton John Architect & Associates,Dalton John Architect & Associates,Dalton John Architect & Associates,Dalton John Architect & Associates,Dalton John Architect & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Dalton John Architect& Asscts,Dalton John Architect& Asscts,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Davenport Edward F,,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F,Devenport Edward F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Davidson P W,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis Heather Group The
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawson Dennis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawson John & Associates Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J,Dawson John J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F,de Gruchy G F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Vries J,De Vries J,De Vries J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denham & Munro Architects Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Denham V,Denham V,Denham V,Denham V,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deshon John,Deshon John
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Devenport E F,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Doe H E,Doe H E,Doe H E,Doe H E,Doe H E,Doe H E,Doe H E,Doe H E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doidge J R,Doidge J R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Donnelly J J,Donnelly J J,Donnelly J J,Donnelly J J,Donnelly J J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donoghue & Fulton,Donoghue & Fulton,Donoghue Cusick & Edwards,Donoghue Cusick & Edwards,Donoghue Cusick & Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Donoghue J P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Donoghue J P, Cusick & Edwards","Donoghue J P, Cusick & Edwards","Donoghue J P, Cusick & Edwards",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Douglas & Barnes & Asscts,Douglas & Barnes & Asscts,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Douglas Barnes & Asscts,Douglas Barnes & Asscts,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Douglas W L,Douglas W L,Douglas W L,Douglas W L,Douglas W L,Douglas W L,Douglas W L,Douglas W L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Douglas W L & Barnes B,Douglas W L & Barnes B,Douglas W L & Barnes B,Douglas W L & Barnes B,Douglas W L & Barnes B,Douglas W L & Barnes B,Douglas W L & Barnes B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas William L,Douglas William L,Douglas William L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas William L & Associates,Douglas William L & Associates,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Dowling Peter R,Dowling Peter R,Dowling Peter R,Dowling Peter R,Dowling Peter R,Dowling Peter R,Dowling Peter R,Dowling Peter R,Dowling Peter R,Dowling Peter R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down K G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,Drewe & Prestorius,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Drewe Kenneth H,Drewe Kenneth H,Drewe Kenneth H,Drewe Kenneth H,Drewe Kenneth H,Drewe Kenneth H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Driver Horace,Driver Horace,Driver Horace,,,,,,,,,,,,Driver Horace,Driver Horace,Driver Horace,Driver Horace,Driver Horace,Driver Horace,Driver Horace,Driver Horace,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Dunkley Ron C,Dunkley Ron C,Dunkley Ron C,Dunkley Ron C,Dunkley Ron C,Dunkley Ron C,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dunkley Ron C Architects Pty Ltd,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutton K S,Dutton K S,Dutton K S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Eales Keith & Associates,Eales Keith & Associates,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Edmiston Robin,Edmiston Robin,Edmiston Robin,Edmiston Robin,Edmiston Robin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Edwards Bisset & Partners,Edwards Bisset & Partners,Edwards Bisset & Partners,Edwards Bisset & Partners,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Edwards Bisset & Partners Pty Ltd,Edwards Bisset & Partners Pty Ltd,Edwards Bisset & Partners Pty Ltd,Edwards Bisset & Partners Pty Ltd,Edwards Bisset & Partners Pty Ltd,Edwards Bisset & Partners Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Egan J S,Egan J S,,Egan J S,Egan J S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Eglington John,Eglington John,Eglington John,Eglington John,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellick P R,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ellwood G F,Ellwood G F,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Ellwood R R,Ellwood R R,Ellwood R R,Ellwood R R,Ellwood R R,Ellwood R R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enborisoff Alex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endres L K,Endres L K,Endres L K
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esler R J,Esler R J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Fagg A F,Fagg A F,Fagg A F,Fagg A F,Fagg A F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ferguson J St Clair,Ferguson J St Clair,Ferguson J St Clair,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,Ferrier A Ian,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Ferrier A Ian & Asscts,Ferrier A Ian & Asscts,Ferrier A Ian & Asscts,Ferrier A Ian & Asscts,Ferrier A Ian & Asscts,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ferrier A Ian, Campbell & Struthers Pty Ltd","Ferrier A Ian, Campbell & Struthers Pty Ltd","Ferrier A Ian, Campbell & Struthers Pty Ltd"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Ferris J A,Ferris J A,Ferris J A,Ferris J A,Ferris J A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Fiertag M E,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,FitzGerald A M,,,Fitzgerald A M,Fitzgerald A M,Fitzgerald A M,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Ford, Hutton & Newell","Ford, Hutton & Newell","Ford, Hutton & Newell","Ford, Hutton & Newell","Ford, Hutton & Newell","Ford, Hutton & Newell","Ford, Hutton & Newell",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Forrest & MacMinn,Forrest & MacMinn,Forrest & MacMinn,Forrest & MacMinn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Forrest P G,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Franklin R L,,,,,Franklin R L,Franklin R L,Franklin R L,Franklin R L,Franklin R L,Franklin R L,Franklin R L,Franklin R L,,Franklin R L,Franklin R L,Franklin R L,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Froud R P,Froud R P,Froud R P,Froud R P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Fuller G J,Fuller G J,Fuller G J,Fuller G J,Fuller G J,Fuller G J,Fuller G J,Fuller G J,Fuller G J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Fulton C W T,Fulton C W T,Fulton C W T,Fulton C W T,Fulton C W T,Fulton C W T,Fulton C W T,Fulton C W T,Fulton C W T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Fulton C W T & Collin J M,Fulton C W T & Collin J M,Fulton C W T & Collin J W,Fulton C W T & Collin J W,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Fulton C W T in Assn with Collin J M,Fulton C W T in Assn with Collin J M,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Fulton C W T in Assn with Job A H & Collin J M,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Fulton I H,Fulton I H,Fulton I H,Fulton I H,Fulton I H,Fulton I H,Fulton I H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Fulton, Collin, Boys, Gilmour, Trotter & Partners","Fulton, Collin, Boys, Gilmour, Trotter & Partners","Fulton, Collin, Boys, Gilmour, Trotter & Partners","Fulton, Collin, Boys, Gilmour, Trotter & Partners","Fulton, Collin, Boys, Gilmour, Trotter & Partners","Fulton, Collin, Boys, Gilmour, Trotter & Partners","Fulton, Collin, Boys, Gilmour, Trotter & Partners","Fulton, Collin, Boys, Gilmour, Trotter & Partners","Fulton, Collin, Boys, Gilmour, Trotter & Partners"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fysh G C,Fysh G C,Fysh G C,Fysh G C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gailey Richd,Gailey Richd,Gailey Richd,Gailey Richd,Gailey Richd,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganis John Architects & Associates,Ganis John Architects & Associates,Ganis John Architects & Associates,Ganis John Architects & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Gardner Robert S,Gardner Robert S,Gardner Robert S,Gardner Robert S,Gardner Robert S,Gardner Robert S,Gardner Robert S,Gardner Robert S,Gardner Robert S,Gardner Robert S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Gargett T B F,Gargett T B F,Gargett T B F,Gargett T B F,Gargett T B F,Gargett T B F,Gargett T B F,Gargett T B F,Gargett T B F,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgeson G J,Georgeson G J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgeson J Gary,Georgeson J Gary
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F,Gibson R F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Giese C E,Giese C E,Giese C E,Giese C E,Giese C E,Giese C E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Giles T John,Giles T John,Giles T John,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Gilmour J G,Gilmour J G,Gilmour J G,Gilmour J G,Gilmour J G,Gilmour J G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Girard J D,Girard J D,Girard J D,Girard J D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Glazebrook R,Glazebrook R,Glazebrook R,Glazebrook R,Glazebrook R,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Glazebrook Robert J,Glazebrook Robert J,Glazebrook Robert J,Glazebrook Robert J,Glazebrook Robert J,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golikov O P,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Goodfir D B & Carlyle H J,,Goodsir D B & Carlyle H J,Goodsir D B & Carlyle H J,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Goodsir & Carlyle,Goodsir & Carlyle,Goodsir & Carlyle,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Goodsir & Carlyle Baker & Wilde,Goodsir & Carlyle Baker & Wilde,Goodsir & Carlyle Baker & Wilde,Goodsir & Carlyle Baker & Wilde,Goodsir & Carlyle Baker & Wilde,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodsir, Baker & Wilde","Goodsir, Baker & Wilde",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodsir, Baker & Wilde Pty Ltd","Goodsir, Baker & Wilde Pty Ltd","Goodsir, Baker & Wilde Pty Ltd"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H,Graveur E H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greary Frank & Associates,Geary Frank & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Greenman E D,Greenman E D,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffn Chas H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grimes A H,Grimes A H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Guley R C,Guley R C,Guley R C,Guley R C,Guley R C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Gzell V,Gzell V,Gzelf V,Gzell V,,,Gzell V,Gzell V,Gzell V,,,,,,,,,Gzell V,Gzell V,Gzell V,Gzell V
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Gzell V & Asscts Pty Ltd,Gzell V & Asscts Pty Ltd,Gzell V & Asscts Pty Ltd,Gzell V & Asscts Pty Ltd,Gzell V & Asscts Pty Ltd,Gzell V & Asscts Pty Ltd,Gzell V & Asscts Pty Ltd,Gzell V & Asscts Pty Ltd,,,,Gzell V & Associates Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
