1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1970,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Beck Hugh M & Pavlyshyn R,Beck Hugh M & Pavlyshyn R,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Belcher R E,Belcher R E,Belcher R E,Belcher R E,Belcher R E,Belcher R E,Belcher R E,Belcher R E,Belcher R E,Belcher R E,Belcher R E,Belcher R E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bell & Drewe,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Bell David B,Bell David B,,,Bell David B,Bell David B,Bell David B,Bell David B,Bell David B,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Bell David B & Associates,Bell David B & Associates,Bell David B & Associates,Bell David B & Associates,Bell David B & Asscts,Bell David B & Asscts,Bell David B & Asscts,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Bell G N,Bell G N,Bell G N,Bell G N,Bell G N,Bell G N,Bell G N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Bennett Lloyd & Associates Pty Ltd,Bennett Lloyd & Associates Pty Ltd,Bennett Lloyd & Associates Pty Ltd,Bennett Lloyd & Associates Pty Ltd,Bennett Lloyd & Associates Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Bennetts D J,Bennetts D J,Bennetts D J,Bennetts D J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkman G M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Birrel J P,Birrel J P,Birrel J P,Birrel J P,Birrel J P,Birrel J P,Birrel J P,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Birrel James & Partners,Birrel James & Partners,Birrel James & Partners,Birrel James & Partners,Birrel James & Partners,Birrel James & Partners,Birrel James & Partners,Birrel James & Partners,Birrel James & Partners,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birrel James Architect & Town Planner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburne & Gzell,Blackburne & Gzell,Blackburne & Gzell,,,Blackburne & Gzell,Blackburne & Gzell,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,Blackburne G A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Blackburne G A & Asscts,Blackburne G A & Asscts,Blackburne G A & Asscts,Blackburne G A & Asscts,Blackburne G A & Asscts,Blackburne G A & Asscts,Blackburne G A & Asscts,Blackburne G A & Asscts,Blackburne G A & Asscts,Blackburne G A & Asscts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackburne J C,Blackburne J C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Bland R A,Bland R A,Bland R A,Bland R A,Bland R A,,Bland R A,Bland R A,Bland R A,Bland R A,Bland R A,Bland R A,Bland R A,Bland R A,Bland R A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bligh & Jessup,Bligh & Jessup,Bligh & Jessup,Bligh & Jessup,Bligh & Jessup,Bligh & Jessup,Bligh Jessup & Partners,Bligh Jessup & Partners,Bligh Jessup & Partners,Bligh Jessup & Partners,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bligh Arthur,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,Bligh Jessup Bretnall & Partners,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Bligh Jessup Bretnall & Partners Pty Ltd,Bligh Jessup Bretnall & Partners Pty Ltd,Bligh Jessup Bretnall & Partners Pty Ltd,Bligh Jessup Bretnall & Partners Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Blow Wayne,Blow Wayne,Blow Wayne,Blow Wayne
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Booker Alan,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Bouel Eugene,Bouel Eugene,Bouel Eugene,Bouel Eugene,,,Bouel Eugene,Bouel Eugene,Bouel Eugene,Bouel Eugene,Bouel Eugene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Boyer S N,Boyer S N,Boyer S N,Boyer S N,Boyer S N,Boyer S N,Boyer S N,Boyer S N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Boys G B,Boys G B,Boys G B,Boys G B,Boys G B,Boys G B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Bretnall Athol W,Bretnall Athol W,,,,,,,,,,,,,,,,,,Bretnall Athol W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Briggs Gordon,Briggs Gordon,Briggs Gordon,Briggs Gordon,Briggs Gordon,Briggs Gordon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett","Briggs, Peterson & Burnett"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Brooks R L,Brooks R L,Brooks R L,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown Brewer & Greogory
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Brown R A,Brown R A,Brown R A,Brown R A,Brown R A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Brown V M,Brown V M,Brown V M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Bryce Michael & Asscts,Bryce Michael & Asscts,Bryce Michael & Asscts,Bryce Michael & Asscts,Bryce Michael & Asscts,Bryce Michael & Associates,Bryce Michael & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buchan Laird & Walker,Buchan Laird & Walker
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker,Buchanan & Walker
